"Position","Event Title","Event Description","Event Image","Event Location","Book Now Link"
1,"THE ARTIST IS IN HER RESIDENCE","Illnesses: chronic. Tits: iconic.

Hampered by health conditions, Creatif Kate invites you in to her humble abode. Settle down with a cuppa and enjoy a poetic peep into a life lived at her pace, in her place. After all, home is where the art is.

---

Creatif Kate is the multi-award winning, multi-talented, multi-chronic illness having, creative force behind DAT Fest, Femmes & Thems Comedy, and so much more. A full-time artist since 2018, she is a producer, a performer, a poet, a photographer, a preacher, and a pain in the ass. Kate is disabled, queer, Christian, a furious feminist with an intersectional lens, and actively seeks to create safe spaces for performers. She is driven, determined, and decisive (or at least thinks she is!). Head over to www.creatifkate.com to buy tickets to shows and copies of her books. Or, just go and ogle her deliciouness.","https://eventotron.imgix.net/10-13-2024-020506-2778.jpg","Online Event","https://tickets.fringe.co.nz/event/446:6254"
2,"THE WICKED WINDS OF WELLYWOOD!","Ashley Richardson was the writer of Wellywood's hottest new international film - but now Ashley is dead. Plunge through the wicked winds of Wellywood to find the answers even the city's best crime fighters couldn't. Do you have what it takes to get justice?*

 

This is an unsolved case file. Pick your case notes, audio recordings, photos and newspaper clippings from [TBC LOCATION], or download them online once Fringe begins, get your mates together and solve this heinous crime!

*All events of this show are fictionalised, any resemblence to any person, place or circumstance is merely coincidental.","https://eventotron.imgix.net/10-13-2024-043320-1317.jpg","Online Event","https://tickets.fringe.co.nz/event/446:6258"
3,"THE AMPLIFIER SHOW WITH DON LUCHITO","Don Luchito opens studio doors to welcome another year of NZ Fringe guests. Get the details on shows and creative talent every weekday, 10am. Tune in and let The Don help you decide what shows to attend. Listen on 88.6fm in Wellington & 'radioactive.fm' online.","https://eventotron.imgix.net/10-10-2024-040401-9651.jpg","Online Event","https://tickets.fringe.co.nz/event/446:6242"
4,"ANTONIO!","""A treasure chest of musical comedy."" ★★★★ West End Best Friend (UK)

What if Shakespeare wasn’t just reusing a character name, but instead was inspired by one proudly queer pirate stealing hearts and booty on the high seas? Antonio takes the stage with his live band ‘The Fools for Love’ to reclaim his stories in this queer punk pirate musical not to be missed. He’s not bitter: he’s getting even!

Now touring Australasia after a ★★★★ and ★★★★★ sell-out season at Edinburgh Fringe 2023, 'Antonio!' is “the cult classic that we all deserve"" Broadway Baby. “This show is such a joy; it’s hilarious, it’s camp” The Edinburgh Reporter ""Vibrant, passionate and extremely fun"" Theatre Travels (UK)

The Edinburgh Fringe smash-hit makes its debut on home soil! Book by Ania Upstill Music and Lyrics by William Duignan and Andy Manning Directed by Andrew Paterson Featuring Henry Ashby, William Duignan, Emma Katene, Jthan Morgan and Ania Upstill Antonio! is a queer punk pirate musical starring Shakespeare's ultimate love interest.

The performance at 2:30pm on 16 February will be a relaxed performance proceeded by an optional touch tour at 1:30pm (Seperate ticket types available). For this relaxed performance, doors will be left open throughout the performance. Lights will be left at 20% in the auditorium, and music will be turned down by 20%. Stimming toys will also be provided (courtesy of DAT Fest). Companion seats will be provided free of charge.


Love Pride & Prejudice but wish it was more colourful and queer? Check out our sibling show HAUSDOWN and use the code 'HUZZAH!' for 20% off Full Price tickets!","https://eventotron.imgix.net/10-11-2024-034259-1141.jpg","Hannah Playhouse","https://tickets.fringe.co.nz/event/446:6118"
5,"ESSENCE UNFOLDING","WINNER - OUTSTANDING NEWCOMER (INDIVIDUAL) - 2024 Auckland Fringe Awards

""Green works their magic on, over, around, in, and under the hoop. It's impressive work, strong, elegant, lithe, courageous too"".

Step into the enchanting world of 'Essence Unfolding', a circus / contemporary dance fusion, with a smattering of poetry/spoken word created by young creative, Orlando Green.

Come and experience the heartache, the joy and the journey of discovery of a person struggling with identity - but ultimately, the journey of growing into one's self.

 

""From the opening second, ""Essence Unfolding"" is a beautiful, moving, profound and ultimately hopeful piece of work. The narrative that is built from Ollie's movement both in the air and on the floor is completely coherent - from the choreographed stumbles and falls that preface the fall into mental health struggles through the setbacks of recovery, to the grace and clarity of the denouement"" -- Matt Keane, theatreview

""Green is especially impressive when they embed a unique gymnastic flexibility in and around the dance facets of the narrative while never missing a beat of the complex poetic rhythms that anchor the performance in an intense reality."" -- Lexie Matheson, theatreview

Read the full review here

 

Trigger Warning: Contains content around mental health.","https://eventotron.imgix.net/10-02-2024-223800-7541.jpg","Te Auaha","https://tickets.fringe.co.nz/event/446:6164"
6,"IN THIS ECONOMY?","""In this economy?"" - A comedy show for the broke, the struggling, and everyone trying to make sense of skyrocketing prices.**

Whether you're debating whether to buy groceries or fill up your gas tank, or you've considered taking out a loan just to pay rent - this show is for you. Our sharp, punchy one-liners will have you laughing through the pain of an empty wallet.

Join us as we explore the wild world of inflation, house prices that make Monopoly feel realistic, and how your paycheck seems to disappear faster than a pie at a family reunion. With humor that's as relatable as your online banking app reminding you that you're close to overdrafting, ""In this economy?"" is here to give you the laughs you desperately need.

We tackle the absurdity of everyday financial woes with wit and quick punches, taking on everything from sky-high grocery bills to housing markets that feel like cruel jokes. You might not be able to afford that avocado toast anymore, but you can definitely afford a few laughs.

So if you're feeling the pinch (or the full-on punch) of the cost-of-living crisis, come join us. It's cheaper than therapy and way funnier. In a world where everything is going up except your salary, we guarantee you'll leave with a smile - because, honestly, what else can we do but laugh?","https://eventotron.imgix.net/12-17-2024-220128-9707.jpg","The Fringe Bar","https://tickets.fringe.co.nz/event/446:6181"
7,"RETURN OF THE DRAGON SMASHERS","Two years ago, a mighty adventuring party went their separate ways. Now, they are reunited under one roof for one last competition to answer the question none dared answer before... Who is the greatest adventurer among them?
Facing off in contests of Strength, Dexterity, Constitution, Intelligence, Wisdom and Charisma, they reminisce about the old days and consider what led to the fracture of their indomitable crew.

Come dress up, take a night away from the mundane and join five adventurers in a fast paced, immersive adventure full of laughs, booze, shanties and secrets, and the opportunity to create a story of your own in this D&D inspired world. 

Prize for best dressed & most involved","https://eventotron.imgix.net/10-07-2024-014748-3669.jpg","R Bar","https://tickets.fringe.co.nz/event/446:6135"
8,"FOR THE FIRST TIME","As summer draws to a close, so does an era. In a small town where everyone knows everyone, a teen is eager to pave their path into adulthood. For the First Time is an improvised show about growing up, the people who help us along the way, and the unknown.

Starring some of Wellington's best-loved improvisers, Hugo Beale (Late Night Knife Fight champion), Simran Rughani (The Big Hoo-Haa Poneke), Campbell Wright (The Adults are Talking, Role for Initiative), Millie Osborne (PopRox, Farce Onion) and Austin Harrison (Poprox, Ungartered Territory, Magnus Steele)! 

Content warning
It's improv, anything can happen!","https://eventotron.imgix.net/10-14-2024-102455-8960.jpg","Circus Bar","https://tickets.fringe.co.nz/event/446:6093"
9,"MURDER ON THE DANCE FLOOR","It's the most important night of a 13-year-old's life: the year 8 school disco. When three kids accidentally murder their principal during their big night they must hide the body before they miss out on one of those really thin slices of pizza. you know what I'm talking about right? It's like why are you cutting the pizzas so thin? we only get one slice each anyways. is the school really that desperate for money that they're rationing the pizzas like the germans are still flying over our heads?? I paid $20 to be here anyway and you're still charging me $2 per glowstick and god forbid I wanna get a lolly bag. are the teachers taking the money for themselves?? because its clearly not going to the pizzas! and its definitely not going to the decorations theres like three balloons and one of those party light things that they plug into the wall. something needs to be done about this, I cannot live in these conditions anymore.","https://eventotron.imgix.net/10-13-2024-124448-6798.jpg","Te Auaha","https://tickets.fringe.co.nz/event/446:6142"
10,"RUNNING WET THROUGH A TUNNEL","Cumming soon to a theatre near you, the big opening of 'Running Wet Through A Tunnel' will make you wet with laughter, wet with tears, and wet again with... more laughter. Everything about the sperms journey to the egg that'll keep you on the edge. Two nights only so you better get in quick because my parents are home soon! You wont regret it, I put a lot of thought into this and I think you're the one that I want to show it to... :)

A musical comedy about the sperms journey to the egg. It's filled with songs, drama, action, and education. Follow our team of misfit sperms as they travel through the treacherous depths of the vagina and discover their personal identity along the way. What does it take to be the lone survivor?","https://eventotron.imgix.net/10-10-2024-093437-3060.jpg","BATS Theatre","https://tickets.fringe.co.nz/event/446:6075"
